,x,y,width,height,frame_num,cls
0,477,418,17,19,97,Person
1,235,349,17,18,97,Person
2,451,195,18,15,97,Person
3,168,183,18,17,97,Person
4,228,129,15,15,97,Person
0,477,418,17,19,98,Person
1,235,349,17,18,98,Person
2,451,195,18,15,98,Person
3,168,183,18,17,98,Person
0,477,418,17,19,99,Person
1,235,350,17,18,99,Person
2,168,183,18,17,99,Car
