,x,y,width,height,frame_num,cls
0,322,301,15,15,229,Person
0,322,301,15,15,230,Person
0,322,301,15,15,231,Person
0,322,300,16,16,232,Person
0,323,300,16,16,235,Person
0,323,301,15,16,236,Person
0,323,301,15,16,237,Person
0,323,301,15,16,238,Person
0,323,301,16,16,239,Person
0,324,301,15,15,240,Person
0,324,301,15,15,241,Person
0,324,301,15,16,242,Person
0,324,301,15,16,243,Person
0,324,301,15,16,244,Person
0,324,301,15,16,245,Person
0,324,301,15,16,246,Person
0,319,301,20,18,247,Person
0,319,301,20,18,248,Person
0,324,301,15,15,249,Person
0,319,301,21,19,250,Person
0,319,301,21,19,251,Person
0,324,301,16,16,252,Person
0,324,301,16,16,253,Person
0,324,301,16,15,254,Person
0,324,301,16,15,255,Person
0,318,301,22,19,256,Person
0,318,301,22,19,257,Person
1,553,0,16,8,257,Car
0,318,301,22,19,258,Person
1,553,0,16,8,258,Car
0,318,301,22,19,259,Person
1,553,0,16,8,259,Car
0,318,301,22,19,260,Person
1,553,0,16,8,260,Car
0,318,301,22,19,261,Person
1,553,0,16,8,261,Car
0,318,301,22,19,262,Person
1,553,0,16,8,262,Car
0,318,300,23,20,263,Person
0,318,300,23,20,264,Person
0,318,300,23,20,265,Person
0,318,300,23,20,266,Person
0,318,300,24,20,267,Person
0,318,300,24,20,268,Person
0,326,300,16,18,269,Person
0,288,339,15,15,270,Person
1,326,300,16,18,270,Person
0,288,339,15,15,271,Person
1,326,299,16,19,271,Person
0,288,339,15,15,272,Person
1,326,299,16,16,272,Person
0,288,339,15,15,273,Person
1,327,299,15,15,273,Person
0,288,339,15,15,274,Person
1,327,299,15,15,274,Person
2,554,0,15,8,274,Car
0,288,339,15,15,275,Person
1,327,299,16,18,275,Person
0,288,339,15,15,276,Person
1,327,299,16,18,276,Person
0,327,299,16,18,277,Person
0,327,299,15,15,278,Person
0,327,299,16,18,279,Person
0,289,339,15,15,280,Person
1,327,299,15,15,280,Person
0,289,339,15,15,281,Person
1,327,299,15,15,281,Person
0,289,339,15,15,282,Person
1,327,299,15,15,282,Person
0,328,302,15,16,285,Person
0,328,302,15,16,286,Person
0,328,302,15,16,287,Person
0,312,308,15,15,312,Person
0,312,308,15,15,313,Person
0,312,308,15,15,314,Person
0,311,308,15,15,315,Person
0,311,308,15,15,316,Person
0,311,308,15,15,317,Person
0,311,308,15,15,318,Person
0,311,308,15,15,319,Person
0,308,311,15,15,338,Person
0,308,310,15,16,339,Person
0,308,310,15,16,340,Person
0,308,310,15,16,341,Person
0,308,306,15,19,342,Person
0,308,307,15,19,343,Person
0,308,307,15,18,344,Person
0,308,307,15,18,345,Person
0,308,307,15,18,346,Person
0,307,307,16,17,347,Person
